Category,Title,Currency,Previous_price,Current_price,Unit
Fruits,Shagor Kola (Banana Sagor),৳,55,49,4 pcs
Fruits,Banana Chompa (Ready To Eat),৳,35,29,4 pcs
Fruits,Bangla Kola,৳,55,45,4 pcs
Fruits,Guava Premium (± 50 gm),৳,119,119,1 kg
Fruits,Malta ± 50 gm,৳,340,329,1 kg
Fruits,Daab (Green Coconut),৳,149,129,each
Fruits,Paka Pape ± 50 gm,৳,195,179,1 kg
Fruits,Narikel (Coconut),৳,159,159,each
Fruits,Dalim (Pomegranate),৳,269,269,2 pcs
Fruits,Komola (Orange) Imported ± 50 gm,৳,399,399,1 kg
Fruits,Shada Nashpati ± 50 gm (Pear White),৳,199,199,2 pcs
Fruits,China Fuji Apple ± 50 gm,৳,399,399,1 kg
Fruits,Gala Apple ± 50 gm,৳,439,439,1 kg
Fruits,Anaros (Pineapple),৳,90,85,each
Fruits,Dragon Fruit Local (± 50 gm),৳,399,349,1 kg
Fruits,Pomegranate Peeled (± 50 gm),৳,459,419,300 gm
Fruits,Bel (Wood Apple),৳,99,99,each
Fruits,Watermelon Medium 4 kg + (Tormuj),৳,320,279,each
Fruits,Banana Sobri,৳,59,49,4 pcs
Fruits,Sobuj Angur (Green Grapes) ± 12 gm,৳,140,99,250 gm
Fruits,Amloki (Amla) ± 12 gm,৳,100,89,250 gm
Fruits,Green Apple ± 50 gm,৳,439,419,1 kg
Fruits,Sofeda (Sapodilla),৳,189,149,1 kg
Fruits,Orange Indian (± 50 gm),৳,369,369,1 kg
Fruits,Watermelon Small 3 kg + (Tormuj),৳,249,199,each
Fruits,Strawberry,৳,299,269,500 gm
Fruits,Watermelon Large 5 kg + (Tormuj),৳,400,349,each
Fruits,Watermelon (Tormuj) 6 kg+,৳,429,419,each
Vegetables,Potato Regular (± 50 gm),৳,24,24,1 kg
Vegetables,Coriander Leaves (Dhonia Pata) ± 10 gm,৳,20,15,100 gm
Vegetables,Red Tomato ± 25 gm,৳,30,25,500 gm
Vegetables,Roshun (Garlic Imported) ± 25 gm,৳,119,109,500 gm
Vegetables,Fulkopi (Cauliflower),৳,80,65,each
Vegetables,Kacha Morich (Green Chilli) ±12 gm,৳,45,35,250 gm
Vegetables,Lal Alu (Red Potato Cardinal) ± 50 gm,৳,25,25,1 kg
Vegetables,Ada (Imported Ginger) ± 25 gm,৳,100,89,500 gm
Vegetables,Lal Shak (Red Spinach),৳,29,19,1 bundle
Vegetables,Lomba Lebu (Long Lemon),৳,99,69,4 pcs
Vegetables,Deshi Shosha (Local Cucumber) ± 25 gm,৳,40,35,500 gm
Vegetables,Kacha Morich (Green Chilli) ± 12 gm,৳,20,15,100 gm
Vegetables,Palong Shak (Palong Spinach),৳,25,19,1 bundle
Vegetables,Deshi Roshun (Garlic Local) ±25 gm,৳,59,49,500 gm
Vegetables,Flat Bean (Sheem),৳,55,45,500 gm
Vegetables,Deshi Ada (Local Ginger) ± 25 gm,৳,99,79,500 gm
Vegetables,Badhakopi (Cabbage),৳,55,39,each
Vegetables,Kacha Pepe (Green Papaya) ± 70 gm,৳,69,55,1.4 kg
Vegetables,Shosha (Cucumber) ± 25 gm,৳,35,35,500 gm
Vegetables,Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm,৳,55,45,1 kg
Vegetables,Gol Lebu (Round Lemon),৳,85,69,4 pcs
Vegetables,Green Capsicum ± 15 gm,৳,59,49,300 gm
Vegetables,Misti Alu (Sweet Potato) ± 25 gm,৳,45,29,500 gm
Vegetables,Kolmi Shak (Water Spinach),৳,19,15,1 bundle
Vegetables,Lomba Kalo Begun (Long Brinjal Black) ± 25 gm,৳,45,45,500 gm
Vegetables,Beetroot ±25 gm,৳,39,39,500 gm
Vegetables,Mula (Radish) ± 25 gm,৳,35,35,500 gm
Vegetables,Lau (Bottle Gourd),৳,79,79,each
Vegetables,Lal Alu (Red Potato) ± 25 gm,৳,25,25,500 gm
Vegetables,Sobuj Gol Begun (Round Brinjals Green) ±35 gm,৳,75,59,700 gm
Vegetables,Chichinga (Snake Gourd) ± 25 gm,৳,49,49,500 gm
Vegetables,Kacha Kola (Banana Green),৳,65,49,4 pcs
Vegetables,Pudina Pata (Mint Leaves) ± 10 gm,৳,39,25,100 gm
Vegetables,Potato Regular (± 25 gm),৳,15,15,600 gm
Vegetables,Kochur Mukhi (Taro Roots) ± 25 gm,৳,45,45,500 gm
Vegetables,Ada (Imported Ginger) ± 25 gm,৳,50,45,250 gm
Vegetables,Roshun (Garlic Imported) ± 25 gm,৳,65,55,250 gm
Vegetables,Thankuni Pata (Pennywort Leaves),৳,15,9,1 bundle
Vegetables,Kalo Gol Begun (Round Brinjals Black) ±35 gm,৳,99,85,800 gm
Vegetables,Korola (Bitter Gourd) ± 25 gm,৳,65,65,500 gm
Vegetables,Uchche (Local Bitter Gourd) ± 25 gm,৳,85,55,500 gm
Vegetables,Lettuce Leaves ± 10 gm,৳,39,29,100 gm
Vegetables,Mula Shak (Radish Spinach),৳,19,19,1 bundle
Vegetables,Pui Shak (Pui Spinach),৳,45,45,1 bundle
Vegetables,Data Shak (Data Spinach),৳,29,19,1 bundle
Vegetables,Deshi Ada (Local Ginger) ± 25 gm,৳,55,45,250 gm
Vegetables,Deshi Roshun (Garlic Local) ±25 gm,৳,35,25,250 gm
Vegetables,Jali Kumra (Water Pumpkin),৳,79,65,each
Vegetables,Bombay Chilli,৳,45,45,5 pcs
Vegetables,Kochur Loti (Stolon Of Taro) ± 25 gm,৳,70,65,500 gm
Vegetables,Lau Shak (Sweet Bitter Melon Leaves),৳,55,55,1 bundle
Vegetables,Kacha Holud (Raw Turmeric) ± 12 gm,৳,55,45,250 gm
Vegetables,Dhundhul (Sponge Gourd) ±20 gm,৳,55,55,500 gm
Vegetables,Lemon Grass Stalk ± 12 gm,৳,149,75,250 gm
Vegetables,Paan (Betel Leaf),৳,45,39,20 pcs
Vegetables,Red Capsicum ±12 gm,৳,149,149,300 gm
Vegetables,Aloe Vera,৳,40,35,each
Vegetables,Mehendi Pata (Henna Leaves),৳,60,55,3 bundles
Vegetables,Yellow Capsicum ±15 gm,৳,149,149,300 gm
Vegetables,Banana Flower (Kolar Mocha),৳,65,55,each
Vegetables,Badhakopi Pata (Chinese Cabbage Leaves) 150 gm+,৳,49,35,each
Vegetables,Banana Stem (Kolar Thor),৳,39,39,each
Vegetables,Watteh Greens Red Amaranth Microgreen,৳,399,399,25 gm
Vegetables,Watteh Greens Radish Microgreen,৳,149,149,25 gm
Vegetables,Watteh Greens Mustard Microgreen,৳,149,149,25 gm
Vegetables,Deshi Peyaj (Local Onion) ± 50 gm,৳,49,39,1 kg
Vegetables,Deshi Gajor (Local Carrot) ± 25 gm,৳,29,29,500 gm
Vegetables,Boro Alu (Big Diamond Potato) ± 50 gm,৳,25,25,1 kg
Vegetables,Dheros (Ladies Finger) ± 25 gm,৳,65,49,500 gm
Vegetables,Deshi Peyaj (Local Onion) ± 25 gm,৳,25,25,500 gm
Vegetables,Potol (Pointed Gourd) ± 25 gm,৳,85,45,500 gm
Vegetables,Kalo Begun (Black Brinjals) ±50 gm,৳,59,45,600 gm
Vegetables,Borboti (Long Bean) ± 25 gm,৳,65,65,500 gm
Vegetables,Lal Peyaj (Onion Red) ± 25 gm,৳,45,45,500 gm
Vegetables,Green Tomato ± 20 gm,৳,35,35,500 gm
Vegetables,Deshi Khira (Local Cucumber),৳,69,65,1 kg
Vegetables,Flat Beans (Sheem) With Seeds,৳,99,99,1 kg
Vegetables,Misti Kumra (Sweet Pumpkin),৳,99,85,each
Vegetables,Long Coriander Leaves (Bilati Dhonia Pata) ± 10 gm,৳,35,25,100 gm
Vegetables,Shojne Data (Drumstick) ± 25 gm,৳,129,85,500 gm
Meat & Fish,Broiler Chicken Skin On ± 50 gm,৳,329,329,1 kg
Meat & Fish,Broiler Chicken Skin Off ± 50 gm,৳,359,359,1 kg
Meat & Fish,Broiler Chicken Skin Off ± 50 gm,৳,489,489,1.4 kg
Meat & Fish,Broiler Chicken Breast Boneless ± 50 gm,৳,629,629,1 kg
Meat & Fish,Broiler Chicken Breast Boneless ± 25 gm,৳,319,319,500 gm
Meat & Fish,Chicken Liver (Kolija) ± 25 gm,৳,199,139,500 gm
Meat & Fish,Broiler Chicken Thigh Boneless ± 50 gm,৳,499,419,1 kg
Meat & Fish,Broiler Chicken Skin On ± 50 gm,৳,465,459,1.4 kg
Meat & Fish,Bengal Meat Whole Chicken Curry Cut ± 50 gm,৳,465,465,1 kg
Meat & Fish,Broiler Chicken Drumsticks ± 50 gm (9-12 pcs),৳,499,499,1 kg
Meat & Fish,Bengal Meat Chicken Thigh Keema ± 50 gm,৳,635,635,1 kg
Meat & Fish,Chicken Liver Gizzard Mix,৳,319,239,1 kg
Meat & Fish,Broiler Chicken Thigh Boneless ± 25 gm,৳,219,219,500 gm
Meat & Fish,Broiler Chicken Wings (± 50 gm),৳,359,359,1 kg
Meat & Fish,Broiler Chicken Drumsticks ± 25 gm (6-8 pcs),৳,259,249,500 gm
Meat & Fish,Chaldal Premium Broiler Chicken Drumstick ± 50 gm,৳,299,299,500 gm
Meat & Fish,Chaldal Premium Roast Chicken ± 50 gm,৳,379,319,500 gm
Meat & Fish,Chaldal Premium Broiler Chicken Wings ± 50 gm,৳,219,219,500 gm
Meat & Fish,Chaldal Premium Broiler Chicken Thigh (Boneless) ± 50 gm,৳,419,279,500 gm
Meat & Fish,Chicken Keema (Net Weight ± 50 gm),৳,699,699,1 kg
Meat & Fish,Broiler Whole Chicken Leg Skin On (± 50 gm),৳,479,479,1 kg
