Category,Brand_name,Fresh_Produce,Non_Branded,first_1_word,first_1_count,first_2_word,first_2_count,first_3_word,first_3_count,Original_Title
Spices & Ingredients,shwapno,,,shwapno,167,shwapno white,8,shwapno white pepper,4,Shwapno White Pepper Powder 30gm (Jar)
Spices & Ingredients,,,,,,,,,,Shwapno White Pepper 25gm
Spices & Ingredients,,,,,,,,,,Shwapno White Pepper 50gm
Spices & Ingredients,,,,,,,,,,Shwapno White Pepper 100gm
Breakfast,,,,,,,,shwapno white chocolate,2,Shwapno White Chocolate Spread 180gm
Breakfast,,,,,,,,,,Shwapno White Chocolate Spread 350gm
Spices & Ingredients,,,,,,,,shwapno white sesame,1,Shwapno White Sesame 200gm
Snacks,,,,,,,,shwapno white peanut,1,Shwapno White Peanut 200gm
Spices & Ingredients,,,,,,shwapno black,6,shwapno black cardamom,2,Shwapno Black Cardamom (Kalo Elach) 50gm
Spices & Ingredients,,,,,,,,,,Shwapno Black Cardamom (Kalo Elach) 25gm
Beverages,,,,,,,,shwapno black tea,2,Shwapno Black Tea 400gm
Beverages,,,,,,,,,,Shwapno Black Tea 200gm
Salt & Sugar,,,,,,,,shwapno black salt,1,Shwapno Black Salt 150gm (Jar)
Spices & Ingredients,,,,,,,,shwapno black pepper,1,Shwapno Black Pepper Powder 30gm (Jar)
Frozen Snacks,,,,,,shwapno premium,5,shwapno premium chicken,3,Shwapno Premium Chicken Spring Roll 200gm
Frozen Snacks,,,,,,,,,,Shwapno Premium Chicken Ball 250gm
Frozen Snacks,,,,,,,,,,Shwapno Premium Chicken Samosa 200gm
Dairy & Eggs,,,,,,,,shwapno premium ghee,1,Shwapno Premium Ghee 500gm
Frozen Snacks,,,,,,,,shwapno premium paratha,1,Shwapno Premium Paratha 1300gm
Breakfast,,,,,,shwapno mustard,4,shwapno mustard honey,3,Shwapno Mustard Honey 500gm
Breakfast,,,,,,,,,,Shwapno Mustard Honey 250 gm
Breakfast,,,,,,,,,,Shwapno Mustard Honey 100gm
Oil,,,,,,,,shwapno mustard oil,1,Shwapno Mustard Oil 1Ltr.
Beverages,,,,,,shwapno soft,4,shwapno soft drink,4,Shwapno Soft Drink Powder Orange 500gm BIB
Beverages,,,,,,,,,,Shwapno Soft Drink Powder Orange 250gm BIB
Beverages,,,,,,,,,,Shwapno Soft Drink Powder Orange 500gm (Jar)
Beverages,,,,,,,,,,Shwapno Soft Drink Powder Orange 750gm (Jar)
Lentils & Pulses,,,,,,shwapno boot,3,shwapno boot dal,2,Shwapno Boot Dal 1kg
Lentils & Pulses,,,,,,,,,,Shwapno Boot Dal (Broken) 1kg
Spices & Ingredients,,,,,,,,shwapno boot beshon,1,Shwapno Boot Beshon 500gm
Spices & Ingredients,,,,,,shwapno gol,3,shwapno gol morich,3,Shwapno Gol Morich (Black Pepper) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Gol Morich (Black Pepper) 50gm
Spices & Ingredients,,,,,,,,,,Shwapno Gol Morich (Black Pepper) 25gm
Spices & Ingredients,,,,,,shwapno cumin,3,shwapno cumin jeera,2,Shwapno Cumin (Jeera) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Cumin (Jeera) 200gm
Spices & Ingredients,,,,,,,,shwapno cumin powder,1,Shwapno Cumin Powder Pouch 200gm
Spices & Ingredients,,,,,,shwapno darchini,3,shwapno darchini cinamon,2,Shwapno Darchini (Cinamon) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Darchini(Cinamon) 200gm
Spices & Ingredients,,,,,,,,shwapno darchini 50gm,1,Shwapno Darchini 50gm
Spices & Ingredients,,,,,,shwapno kismis,3,shwapno kismis round,3,Shwapno Kismis Round (Raisins) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Kismis Round (Raisins) 200gm
Spices & Ingredients,,,,,,,,,,Shwapno Kismis Round (Raisins) 50gm
Spices & Ingredients,,,,,,shwapno elachi,3,shwapno elachi cardamom,3,Shwapno Elachi (Cardamom) 50gm
Spices & Ingredients,,,,,,,,,,Shwapno Elachi (Cardamom) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Elachi (Cardamom) 25gm
Snacks,,,,,,shwapno kath,3,shwapno kath badam,3,Shwapno Kath Badam (Almond) 100gm
Snacks,,,,,,,,,,Shwapno Kath Badam (Almond) 50gm
Snacks,,,,,,,,,,Shwapno Kath Badam (Almond) 25gm
Beverages,,,,,,shwapno isubgul,3,shwapno isubgul vushi,3,Shwapno Isubgul Vushi 200gm (Husk)
Beverages,,,,,,,,,,Shwapno Isubgul Vushi 100gm
Beverages,,,,,,,,,,Shwapno Isubgul Vushi 50gm
Lentils & Pulses,,,,,,shwapno red,2,shwapno red lentil,1,Shwapno Red Lentil (Kangaroo) 1kg
Spices & Ingredients,,,,,,,,shwapno red mustard,1,Shwapno Red Mustard 100gm
Lentils & Pulses,,,,,,shwapno mixed,2,shwapno mixed dal,1,Shwapno Mixed Dal 1kg
Sauces & pickles,,,,,,,,shwapno mixed pickle,1,Shwapno Mixed Pickle 400gm
Lentils & Pulses,,,,,,shwapno dabli,2,shwapno dabli dal,1,Shwapno Dabli Dal 1kg
Snacks,,,,,,,,shwapno dabli vaza,1,Shwapno Dabli Vaza 120gm
Spices & Ingredients,,,,,,shwapno kalo,2,shwapno kalo jeera,1,Shwapno Kalo Jeera (Black Cumins) 100gm
Spices & Ingredients,,,,,,,,shwapno kalo bhuna,1,Shwapno Kalo Bhuna Masala 50gm (Box)
Spices & Ingredients,,,,,,shwapno methi,2,shwapno methi fenugreek,2,Shwapno Methi (Fenugreek Seed) 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Methi (Fenugreek) 50gm
Spices & Ingredients,,,,,,shwapno labongo,2,shwapno labongo cloves,2,Shwapno Labongo (Cloves) 25gm
Spices & Ingredients,,,,,,,,,,Shwapno Labongo (Cloves) 100gm
Spices & Ingredients,,,,,,shwapno joyotri,2,shwapno joyotri mace,2,Shwapno Joyotri (Mace) 25gm
Spices & Ingredients,,,,,,,,,,Shwapno Joyotri (Mace) 50gm
Spices & Ingredients,,,,,,shwapno garam,2,shwapno garam masala,2,Shwapno Garam Masala 100gm
Spices & Ingredients,,,,,,,,,,Shwapno Garam Masala 50gm (Jar)
Spices & Ingredients,,,,,,shwapno shahi,2,shwapno shahi cumin,1,Shwapno Shahi Cumin (Shahi Jeera) 50gm
Snacks,,,,,,,,shwapno shahi khurma,1,Shwapno Shahi Khurma 150gm
Spices & Ingredients,,,,,,shwapno star,2,shwapno star masala,1,Shwapno Star Masala 50gm
Snacks,,,,,,,,shwapno star papar,1,Shwapno Star Papar 200gm
Spices & Ingredients,,,,,,shwapno tokma,2,shwapno tokma 100gm,1,Shwapno Tokma 100gm (Pouch)
Beverages,,,,,,,,shwapno tokma seed,1,Shwapno Tokma Seed 100gm (Jar)
Spices & Ingredients,,,,,,shwapno coriander,2,shwapno coriander whole,1,Shwapno Coriander Whole 100gm
Spices & Ingredients,,,,,,,,shwapno coriander powder,1,Shwapno Coriander Powder 200gm (Jar)
Spices & Ingredients,,,,,,shwapno radhuni,2,shwapno radhuni powder,1,Shwapno Radhuni Powder 50gm (Jar)
Spices & Ingredients,,,,,,,,shwapno radhuni wile,1,Shwapno Radhuni (Wile Celery)100g
Spices & Ingredients,,,,,,shwapno fried,2,shwapno fried cumin,1,Shwapno Fried Cumin Powder 50gm (Jar)
Snacks,,,,,,,,shwapno fried white,1,Shwapno Fried White Peanut 100gm
Spices & Ingredients,,,,,,shwapno chicken,2,shwapno chicken tandori,1,Shwapno Chicken Tandori Masala 40gm (Box)
Spices & Ingredients,,,,,,,,shwapno chicken masala,1,Shwapno Chicken Masala 100gm
Sauces & pickles,,,,,,shwapno hot,2,shwapno hot tomato,2,Shwapno Hot Tomato Sauce 500gm
Sauces & pickles,,,,,,,,,,Shwapno Hot Tomato Sauce 1kg
Breakfast,,,,,,shwapno multifloral,2,shwapno multifloral honey,2,Shwapno Multifloral Honey 500gm
Breakfast,,,,,,,,,,Shwapno Multifloral Honey 250gm
Breakfast,,,,,,shwapno chocolate,2,shwapno chocolate spread,2,Shwapno Chocolate Spread 180gm
Breakfast,,,,,,,,,,Shwapno Chocolate Spread 350gm
Snacks,,,,,,shwapno kaju,2,shwapno kaju badam,2,Shwapno Kaju Badam (Cashew Nuts) 100gm
Snacks,,,,,,,,,,Shwapno Kaju Badam(Cashew Nuts) 50gm
Snacks,,,,,,shwapno dry,2,shwapno dry plum,2,Shwapno Dry Plum (Alu Bokhara) 100gm
Snacks,,,,,,,,,,Shwapno Dry Plum (Alu Bokhara) 50gm
Snacks,,,,,,shwapno nimki,2,shwapno nimki jhal,1,Shwapno Nimki Jhal 200gm
Snacks,,,,,,,,shwapno nimki 200gm,1,Shwapno Nimki 200gm
Snacks,,,,,,shwapno salt,2,shwapno salt monaka,1,Shwapno Salt Monaka 200gm
Snacks,,,,,,,,shwapno salt shahi,1,Shwapno Salt Shahi khurma 200gm
Snacks,,,,,,shwapno chira,2,shwapno chira vaza,1,Shwapno Chira Vaza Masala 200gm
Snacks,,,,,,,,shwapno chira 500gm,1,Shwapno Chira 500gm
