Category,Title,Previous_price,Current_price,Unit,Stock
Fruits,Meher Shagor Kola (Banana ),৳13,৳13,  Per Piece,Add to Bag
Fruits,Chini Chompa (Banana) Yellow,৳5.75,৳5.75,  Per Piece,Add to Bag
Fruits,Joldugui Anarosh (Pineapple) 600gm+ Per Pcs,৳62,৳62,  Per Piece,Add to Bag
Fruits,Malta (Orange),৳299,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Green Apple (Apple Golden Delicious),৳395,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Dalim (Pomegranate) 250gm+ Per Pcs,৳615,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Baby Orange (China),৳395,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Peyara Desi Thai (Guava),৳125,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Nashpati (Pears White),৳385,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Narikel (Coconut) 600gm+ Pcs,৳152,৳152,  Per Piece,Add to Bag
Fruits,Paka Pepe Deshi Thai (Ripen Papaya) 600gm+ Pcs/kg,৳188,৳188,  Per Piece,Add to Bag
Fruits,Komla (Orange Indian),৳380,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Apple Fuji Premium,৳405,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Jujube (Apple Kul),৳155,  Per 1kg,  ❨Min. 250gm ❩,Add to Bag
Fruits,Tormuz (Watermelon Stripe),৳45,  Per 1kg,  ❨Min. 3kg ❩,Add to Bag
Fruits,Bael (Wood Apple Plain),৳59,৳59,  Per Piece,Add to Bag
Fruits,Green Grapes (India),৳430,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Fruits,Sweet Orange (China),৳435,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Vegetables,Kagzi (Lemon),৳10,৳10, ,out of stock
Vegetables,Kacha Kola (Green Banana),৳12,৳12, ,out of stock
Vegetables,Capsicum (Red),৳500, ,  ❨Min. 100gm ❩,out of stock
Vegetables,Kacha Misti Kumra (Green Pumpkin),৳75,৳75, ,out of stock
Vegetables,Kolmi Shak (Water Spinach),৳15,৳15, ,out of stock
Vegetables,Capsicum (Yellow),৳500, ,  ❨Min. 100gm ❩,out of stock
Vegetables,,,,,out of stock
Vegetables,,,,,out of stock
Vegetables,,,,,out of stock
Vegetables,Fulcopy (Cauliflower),৳70,৳70,  Per Piece,Add to Bag
Vegetables,Kacha Morich (Chilli Green),৳89,  Per 1kg,  ❨Min. 100gm ❩,Add to Bag
Vegetables,Badhakopi (Cabbage),৳50,৳50,  Per Piece,Add to Bag
Vegetables,Tomato Red (Local),৳35,  Per 1kg,  ❨Min. 0.50kg ❩,Add to Bag
Vegetables,Kagzi (Lemon),৳10,৳10,  Per Piece,Add to Bag
